Uploaded Image URL,Author,"Author (Last, First)",Title,Subtitle,Genre,Rating,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Publisher,Status,Notes,Edition,Date Published,Length,Format,Dimensions,Weight,ISBN,Physical Location,Date Added,Date Started,Date Finished,Purchase Date,Purchase Place,Purchase Price,List Price,Google VolumeID,Favorites,Wish List,Category,Series,Volume,Quantity,Summary,Tags
,Jeffrey D. Ullman,"Ullman, Jeffrey D.",Elements of ML Programming,ML 97 Edition,Computers,0,,,,,Prentice-Hall International,Unread,,,,,,,,9780137903870,,2014/03/02,,,,,,,KIUsQQAACAAJ,0,0,,,,,,
,"Alexander A. Stepanov, Paul McJones","Stepanov, Alexander A.",Elements of Programming,,Computers,0,Randy VanWhy,,,,Addison-Wesley Professional,Unread,,,,,,,,9780321635372,,2014/04/01,,,,,,,tjOlkl7ecVQC,0,0,,,,,,
,Simcha Kling,"Kling, Simcha",Embracing Judaism,,Religion,0,,,,,Rabbinical Assembly,Unread,,,,,,,,9780916219154,,2014/03/03,,,,,,,MIvLPQAACAAJ,0,0,,,,,,
,Jane Austen,"Austen, Jane",Emma,,England,0,,,,,Bantam Books,Unread,,,,,,,,9780553212730,,2014/04/01,,,,,,,nZ0boBNEoCMC,0,0,,,,,,
,Isaac Bashevis Singer,"Singer, Isaac Bashevis",Enemies,A Love Story,,0,,,,,Random House Publishing Group,Unread,,,,,,,,9780449240656,,2014/04/02,,,,,,,Y2JXPwAACAAJ,0,0,,,,,,
,"Keith D. Cooper, Linda Torczon","Cooper, Keith D.",Engineering a Compiler,,Computers,0,,,,,Elsevier,Unread,,,,,,,,9781558606982,,2014/03/02,,,,,,,4yVQFVvsBNAC,0,0,,,,,,
,B. C. Sexton,"Sexton, B. C.",English Interlingua,A Basic Vocabulary,English language,0,,,,,British Interlingua Society,Unread,,,,,,,,,,2014/04/01,,,,,,,qPcTPAAACAAJ,0,0,,,,,,
,"David L. Lieber, Jules Harlow, United Synagogue of Conservative Judaism","Lieber, David L.",Etz Hayim,Torah and commentary,Religion,0,,,,,Jewish Publication Society,Unread,,,,,,,,9780827607125,,2014/03/03,,,,,,,i1gKAQAAMAAJ,0,0,,,,,,
,"Euclid, Dana Densmore",Euclid,Euclid's Elements,all thirteen books complete in one volume : the Thomas L. Heath translation,Mathematics,0,,,,,Green Lion Press,Unread,,,,,,,,9781888009187,,2014/03/02,,,,,,,nc1UAAAAYAAJ,0,0,,,,,,
,E. Alan Morinis,"Morinis, E. Alan",Everyday Holiness,,Jewish ethics,0,,,,,Shambhala Publications,Unread,,,,,,,,9780834822214,,2014/03/03,,,,,,,1yEL1YUaL1YC,0,0,,,,,,
,Melinda Ribner,"Ribner, Melinda",Everyday Kabbalah,"A Practical Guide to Jewish Meditation, Healing and Personal Growth",Religion,0,,,,,Citadel Press,Unread,,,,,,,,9780806519807,,2014/03/03,,,,,,,B0ivNuq93ncC,0,0,,,,,,
,"Jerry Bock, Joseph Stein, Sheldon Harnick, Sholem Aleichem","Bock, Jerry",Fiddler on the Roof,,Drama,0,,,,,Hal Leonard Corporation,Unread,,,,,,,,9781617744440,,2014/03/03,,,,,,,hl771abfMqsC,0,0,,,,,,
,Frederick Mosteller,"Mosteller, Frederick",Fifty Challenging Problems in Probability with Solutions,,Mathematics,0,,,,,Courier Dover Publications,Unread,,,,,,,,9780486653556,,2014/03/02,,,,,,,sQr5AAAAQBAJ,0,0,,,,,,
,E. L. James,"James, E. L.",Fifty Shades Freed,,Fiction,0,,,,,Random House LLC,Unread,,,,,,,,9780345803504,,2014/03/02,,,,,,,bfZrvjLVJgIC,0,0,,,,,,
,Arthur Quinn,"Quinn, Arthur",Figures of Speech,60 Ways to Turn a Phrase,Language Arts & Disciplines,0,,,,,G.M. Smith,Unread,,,,,,,,9780879051211,,2014/04/01,,,,,,,yVaKMQEACAAJ,0,0,,,,,,
,Catherine Hall Myrowitz,"Myrowitz, Catherine Hall",Finding a Home for the Soul,Interviews With Converts to Judaism,Religion,0,,,,,Jason Aronson Incorporated,Unread,,,,,,,,9781568213224,,2014/03/02,,,,,,,mc3XAAAAMAAJ,0,0,,,,,,
,Charles H. George,"George, Charles H.",Five hundred years of revolution,European radicals from Hus to Lenin,Political Science,0,,,,,Charles H. Kerr Publishing Company,Unread,,,,,,,,9780882862415,,2014/03/02,,,,,,,57APAQAAMAAJ,0,0,,,,,,
,Edwin Abbott Abbott,"Abbott, Edwin Abbott",Flatland,A Romance of Many Dimensions,Fiction,0,,,,,Courier Dover Publications,Unread,,,,,,,,9780486272634,,2014/03/03,,,,,,,Q1Sjj3K5sdYC,0,0,,,,,,
,Mihaly Csikszent,"Csikszent, Mihaly",Flow,,Psychology,0,,,,,HarperCollins,Unread,,,,,,,,9780060920432,,2014/03/03,,,,,,,v2AVz3gf-F4C,0,0,,,,,,
,Marcus L. Rowland,"Rowland, Marcus L.",Forgotten Futures,The Scientific Romance Role Playing Game,Games,0,,,,,HELIOGRAPH Incorporated,Unread,,,,,,,,9780966892628,,2014/04/01,,,,,,,bCcNAAAACAAJ,0,0,,,,,,
,Isaac Asimov,"Asimov, Isaac",Foundation and Earth,,Fiction,0,,,,,Random House LLC,Unread,,,,,,,,9780553900941,,2014/03/09,,,,,,,mux79xoHSAIC,0,0,,,,,,
,Isaac Asimov,"Asimov, Isaac",Foundation's Edge,,Life on other planets,0,,,,,Ballantine,Unread,,,,,,,,9780345308986,,2014/03/02,,,,,,,Ny0Hfqyf0HIC,0,0,,,,,,
,Octopus Publishing Group,"Group, Octopus Publishing",Fresh Indian Dutch,,,0,,,,,Octopus Publishing Group,Unread,,,,,,,,9780600613893,,2014/04/01,,,,,,,H4iIAAAACAAJ,0,0,,,,,,
,"Pieter H. Hartel, Henk Muller","Hartel, Pieter H.",Functional C,,C (Computer program language),0,,,,,Addison-Wesley,Unread,,,,,,,,9780201419504,,2014/04/01,,,,,,,G1sZAQAAIAAJ,0,0,,,,,,
,Bruce J. MacLennan,"MacLennan, Bruce J.",Functional programming,Practice And Theory,Computers,0,,,,,ADDISON WESLEY Publishing Company Incorporated,Unread,,,,,,,,9780201137446,,2014/03/02,,,,,,,JqhQAAAAMAAJ,0,0,,,,,,
,"Neil Howe, William Strauss","Howe, Neil",Generations,"The History of America's Future, 1584 to 2069",History,0,,,,,HarperCollins,Unread,,,,,,,,9780688119126,,2014/03/26,,,,,,,SHvH16kjW-UC,0,0,,,,,,
,Edward Kohn,"Kohn, Edward",Geometry Quick Review,,,0,,,,,Cliffs Notes,Unread,,,,,,,,9780822053286,,2014/03/02,,,,,,,oadRAG324rUC,0,0,,,,,,
,"Richard M. Stallman, Roland McGrath","Stallman, Richard M.",GNU make,a program for directing recompilation : GNU make version 3.79.1,GNU Emacs,0,,,,,Free Software Foundation,Unread,,,,,,,,9781882114825,,2014/03/09,,,,,,,DzKD10HuuRkC,0,0,,,,,,
,Peter Shotwell,"Shotwell, Peter",GO! More Than a Game,,Games,0,,,,,Tuttle Publishing,Unread,,,,,,,,9780804834759,,2014/03/02,,,,,,,I7Z0PRuhIvUC,0,0,,,,,,
,Martin Buber,"Buber, Martin",Good and Evil,,Philosophy,0,,,,,"Peter Smith Publisher, Incorporated",Unread,,,,,,,,9780844661216,,2014/04/02,,,,,,,5IHCAAAACAAJ,0,0,,,,,,
,"Miles V. Van Pelt, Gary Davis Pratico","Pelt, Miles V. Van",Graded Reader of Biblical Hebrew,A Guide to Reading the Hebrew Bible,Bibles,0,,,,,Zondervan Books,Unread,,,,,,,,9780310251576,,2014/03/03,,,,,,,1K3sAAAACAAJ,0,0,,,,,,
,Jeremy Campbell,"Campbell, Jeremy",Grammatical Man,"Information, Entropy, Language, and Life",Reference,0,,,,,Simon and Schuster,Unread,,,,,,,,9780671440626,,2014/03/02,,,,,,,HAVQPgAACAAJ,0,0,,,,,,
,Kaplan,Kaplan,GRE exam,comprehensive program,Educational tests and measurements,0,,,,,Kaplan,Unread,,,,,,,,9781419541926,,2014/04/01,,,,,,,eSg9EUKcoBwC,0,0,,,,,,
,Carlos de la Guardia,"Guardia, Carlos de la",Grok 1.0 Web Development,"Create Flexible, Agile Web Applications Using the Power of Grok'a Python Web Framework",Computers,0,,,,,"Packt Publishing, Limited",Unread,,,,,,,,9781847197481,,2014/03/09,,,,,,,-q_UPwAACAAJ,0,0,,,,,,
,Steven K. Baum,"Baum, Steven K.",Growing Up at Any Age,How to Know When True Adulthood Arrives,Psychology,0,,,,,"Health Communications, Incorporated",Unread,,,,,,,,9781558742925,,2014/03/02,,,,,,,6FgwAAAACAAJ,0,0,,,,,,
,Terry Pratchett,"Pratchett, Terry",Guards! Guards!,,Fiction,0,,,,,HarperCollins,Unread,,,,,,,,9780061804793,,2014/03/09,,,,,,,ijGqzhDD2Q0C,0,0,,,,,,
,Tim Bete,"Bete, Tim",Guide to Pirate Parenting,"Why You Should Raise Your Kids As Pirates, and 101 Tips on How to Do It",Humor,0,,,,,Blu Sky Media Group,Unread,,,,,,,,9781583852910,,2014/04/01,,,,,,,hpr2PgAACAAJ,0,0,,,,,,
,Stephen H. Dole,"Dole, Stephen H.",Habitable Planets for Man,,Science,0,,,,,RAND Corporation,Unread,,,,,,,,9780833042279,,2014/03/02,,,,,,,-vPkHgAACAAJ,0,0,,,,,,
,Jackie Hardy,"Hardy, Jackie",Haiku,,Poetry,0,,,,,C. E. Tuttle,Unread,,,,,,,,9780804834742,,2014/03/09,,,,,,,hMIwAittUpYC,0,0,,,,,,
,J. K. Rowling,"Rowling, J. K.",Harrius Potter Et Camera Secretorum,(Harry Potter and the Chamber of Secrets),Fiction,0,,,,,Bloomsbury USA,Unread,,,,,,,,9781599900674,,2014/03/02,,,,,,,_lkvAAAACAAJ,0,0,,,,,,
,J. K. Rowling,"Rowling, J. K.",Harry Potter and the Deathly Hallows,,Juvenile Fiction,0,,,,,Arthur A. Levine Books,Unread,,,,,,,,9780545010221,,2014/04/01,,,,,,,GZAoAQAAIAAJ,0,0,,,,,,
,"Stefan Petrucha, Seth Lindberg, Allen Rausch, Rick Chillot","Petrucha, Stefan",Haunting the Dead,,Fiction,0,,,,,Psi,Unread,,,,,,,,9781588468376,,2014/03/09,,,,,,,qU4rPQAACAAJ,0,0,,,,,,
,Mitch Albom,"Albom, Mitch",Have a Little Faith,A True Story,"Body, Mind & Spirit",0,,,,,Hyperion Books,Unread,,,,,,,,9781401310462,,2014/03/02,,,,,,,bJXASgAACAAJ,0,0,,,,,,
,Glen Van Brummelen,"Brummelen, Glen Van",Heavenly Mathematics,The Forgotten Art of Spherical Trigonometry,Mathematics,0,,,,,Princeton University Press,Unread,,,,,,,,9780691148922,,2014/03/02,,,,,,,0BCCz8Sx5wkC,0,0,,,,,,
,Neil Asher Silberman,"Silberman, Neil Asher",Heavenly Powers,Unraveling the Secret of the Kabbalah,"Body, Mind & Spirit",0,,,,,Book Sales,Unread,,,,,,,,9780785813248,,2014/03/03,,,,,,,EHGz2oys6HkC,0,0,,,,,,
,Pimsleur Language Programs,"Programs, Pimsleur Language",Hebrew,The Short Course,,0,,,,,Recorded Books,Unread,,,,,,,,,,2014/03/03,,,,,,,ZWvASgAACAAJ,0,0,,,,,,
,"Bernard Evslin, Dorothy Evslin, Ned Hoopes","Evslin, Bernard",Heroes and Monsters of Greek Myth,,Religion,0,,,,,Scholastic Inc.,Unread,,,,,,,,9780590434409,,2014/03/26,,,,,,,ROGpYHHYlJkC,0,0,,,,,,
,Nahum Norbert Glatzer,"Glatzer, Nahum Norbert",Hillel the Elder,The Emergence of Classical Judaism,Religion,0,,,,,B'nai B'rith Hillel Foundations,Unread,,,,,,,,,,2014/04/02,,,,,,,yrYdAAAAMAAJ,0,0,,,,,,
,"Max Leopold Margolis, Alexander Marx","Margolis, Max Leopold",History of the Jewish People,,Jews,0,,,,,Varda Books,Unread,,,,,,,,9781590453001,,2014/04/02,,,,,,,-ODNRzNv2w4C,0,0,,,,,,
,Paul Johnson,"Johnson, Paul",History of the Jews,,Electronic books,0,,,,,HarperCollins,Unread,,,,,,,,9780061828096,,2014/03/03,,,,,,,ecpxpxl40PYC,0,0,,,,,,
,Janna Levin,"Levin, Janna",How the Universe Got Its Spots,Diary of a Finite Time in a Finite Space,Science,0,,,,,Random House LLC,Unread,,,,,,,,9781400032723,,2014/03/02,,,,,,,aBC9itinb1wC,0,0,,,,,,
,Simon Barnes,"Barnes, Simon",How To Be A Bad Birdwatcher,,Nature,0,,,,,Pantheon Books,Unread,,,,,,,,9780375423550,,2014/03/03,,,,,,,a1AgAQAAIAAJ,0,0,,,,,,
,"Stuart Berg Flexner, Reader's Digest","Flexner, Stuart Berg",How to Increase Your Word Power,,Language Arts & Disciplines,0,,,,,Writer's Digest Books,Unread,,,,,,,,9780898792928,,2014/03/09,,,,,,,L4MjBeniP4MC,0,0,,,,,,
,David Straus,"Straus, David",How to Make Meetings Work,The New Interaction Method,Communication in organizations,0,,,,,Jove Books,Unread,,,,,,,,9780515083088,,2014/03/09,,,,,,,hr5uPwAACAAJ,0,0,,,,,,
,Nigel Stillman,"Stillman, Nigel",How to Make Wargames Terrain,,Fantasy games,0,,,,,"Games Workshop, Limited",Unread,,,,,,,,9781872372440,,2014/03/02,,,,,,,pWGSAAAACAAJ,0,0,,,,,,
,Daniel J. Velleman,"Velleman, Daniel J.",How to Prove It,A Structured Approach,Mathematics,0,,,,,Cambridge University Press,Unread,,,,,,,,9780521675994,,2014/03/02,,,,,,,lptwaMuAtBAC,0,0,,,,,,
,Marc Zvi Brettler,"Brettler, Marc Zvi",How to read the Jewish Bible,,Religion,0,,,,,"Oxford University Press, Incorporated",Unread,,,,,,,,9780195325225,,2014/03/03,,,,,,,4EYSAQAAIAAJ,0,0,,,,,,
,HP,HP,HP 50G Graphing Calculator,User's Manual,Calculus,0,,,,,HP Invent,Unread,,,,,,,,,,2014/03/09,,,,,,,PpiTtgAACAAJ,0,0,,,,,,
,Douglas R. Hofstadter,"Hofstadter, Douglas R.",I Am a Strange Loop,,Philosophy,0,,,,,Perseus Distribution,Unread,,,,,,,,9780465030798,,2014/04/01,,,,,,,B3uSmAEACAAJ,0,0,,,,,,
,"Martín Buber, Walter Arnold Kaufmann","Buber, Martín",I and Thou,,Life,0,,,,,Scribner,Unread,,,,,,,,9780684155753,,2014/04/02,,,,,,,kvZh8osJz3MC,0,0,,,,,,
,Isaac Asimov,"Asimov, Isaac",I.Asimov,A Memoir,Fiction,0,,,,,Random House LLC,Unread,,,,,,,,9780307573537,,2014/03/02,,,,,,,mATFyeVI7IUC,0,0,,,,,,
,Sarah Perry,"Perry, Sarah",If ...,,,0,,,,,L & S Publishing.,Unread,,,,,,,,9780892363216,,2014/03/03,,,,,,,_zjENAEACAAJ,0,0,,,,,,
,K. Linda Kivi,"Kivi, K. Linda",If Home is a Place,,Fiction,0,,,,,Polestar,Unread,,,,,,,,9781896095028,,2014/03/26,,,,,,,DnxWngEACAAJ,0,0,,,,,,
,Lyle Daggett,"Daggett, Lyle",If There Is A Song,,American poetry,0,,,,,Red Dragonfly Press,Unread,,,,,,,,,,2014/03/26,,,,,,,,0,0,,,,,,
,Yonah Weinrib,"Weinrib, Yonah",Illuminted Pirkei Avos,,Jewish illumination of books and manuscripts,0,,,,,Mesorah Publications in conjunction with Judaica Illuminations,Unread,,,,,,,,9781578197729,,2014/04/02,,,,,,,AIIRAQAAIAAJ,0,0,,,,,,
,Graham Johnson,"Johnson, Graham",Images You Should Not Masturbate To,,Humor,0,,,,,Penguin Group (USA) Incorporated,Unread,,,,,,,,9780399536496,,2014/03/26,,,,,,,1-lbNQEACAAJ,0,0,,,,,,
,"Dwight Myers, Carol Myers","Myers, Dwight",In Celebration of the Book,Literary New Mexico,Bibliography,0,,,,,New Mexico Book League,Unread,,,,,,,,9780890160633,,2014/04/02,,,,,,,wKjhAAAACAAJ,0,0,,,,,,
,David Wessel,"Wessel, David",In Fed We Trust,Ben Bernanke's War on the Great Panic,Business & Economics,0,,,,,Random House LLC,Unread,,,,,,,,9780307459695,,2014/03/09,,,,,,,oPbnkFkp5CMC,0,0,,,,,,
,Phillip Stanley-Marbell,"Stanley-Marbell, Phillip",Inferno Programming with Limbo,,Computers,0,,,,,Wiley,Unread,,,,,,,,9780470843529,,2014/03/02,,,,,,,eshQAAAAMAAJ,0,0,,,,,,
,"Ingri D'Aulaire, Edgar Parin D'Aulaire","D'Aulaire, Ingri",Ingri and Edgar Parin D'Aulaire's Book of Greek Myths,,"Mythology, Greek",0,,,,,Random House LLC,Unread,,,,,,,,9780440406945,,2014/03/03,,,,,,,DGZJoCHvPqUC,0,0,,,,,,
,F. P. Gopsill,"Gopsill, F. P.",Interlingua Today,A Course for Beginners,Interlingua (International Auxiliary Language Association),0,,,,,British Interlingua Society,Unread,,,,,,,,9781898017011,,2014/04/01,,,,,,,2oYiAAAACAAJ,0,0,,,,,,
,D. Franklin Wright,"Wright, D. Franklin",Intermediate Algebra,,Algebra,0,,,,,Hawkes Pub.,Unread,,,,,,,,9780918091819,,2014/04/01,,,,,,,v-RnRAAACAAJ,0,0,,,,,,
,"D. Franklin Wright, Quant Systems Quant Systems","Wright, D. Franklin",Intermediate Algebra 6th Ed Text Soft,,,0,,,,,Hawkes Learning Systems,Unread,,,,,,,,9781932628432,,2014/03/09,,,,,,,fuVwPgAACAAJ,0,0,,,,,,
,Ziauddin Sardar,"Sardar, Ziauddin",Introducing Chaos,,Science,0,,,,,"Icon Books, Limited",Unread,,,,,,,,9781840460780,,2014/03/26,,,,,,,JA8PAAAACAAJ,0,0,,,,,,
,Thomas H Cormen,"Cormen, Thomas H",Introduction To Algorithms,,Computers,0,,,,,MIT Press,Unread,,,,,,,,9780262032933,,2014/03/09,,,,,,,NLngYyWFl_YC,0,0,,,,,,
,"Axel T. Schreiner, H. George Friedman","Schreiner, Axel T.",Introduction to compiler construction with UNIX,,Computers,0,,,,,Prentice Hall,Unread,,,,,,,,9780134743967,,2014/03/02,,,,,,,XkeqBcp3DvAC,0,0,,,,,,
,Moshe Greenberg,"Greenberg, Moshe",Introduction to Hebrew,,Hebrew language,0,,,,,Prentice-Hall,Unread,,,,,,,,9780134844695,,2014/03/03,,,,,,,GukNAAAAYAAJ,0,0,,,,,,
,Gary Chartrand,"Chartrand, Gary",Introductory Graph Theory,,Mathematics,0,,,,,Courier Dover Publications,Unread,,,,,,,,9780486247755,,2014/03/02,,,,,,,rYuToT7vHbMC,0,0,,,,,,
,"Joan Welkowitz, Barry H. Cohen, R. Brooke Lea","Welkowitz, Joan",Introductory Statistics for the Behavioral Sciences,,Psychology,0,,,,,Wiley,Unread,,,,,,,,9781118149737,,2014/03/09,,,,,,,PSdHAAAAQBAJ,0,0,,,,,,
,Noah BenShea,"benShea, Noah",Jacob's journey,"wisdom to find the way, strength to carry on",Bakeries,0,,,,,Villard Books,Unread,,,,,,,,9780394589909,,2014/03/03,,,,,,,Xrm3AAAAIAAJ,0,0,,,,,,
,Noah BenShea,"benShea, Noah",Jacob's Ladder:,Wisdom for the Heart's Ascent,Religion,0,,,,,Random House Publishing Group,Unread,,,,,,,,9780679451891,,2014/03/02,,,,,,,I33ZAAAAMAAJ,0,0,,,,,,
,Michael Strassfeld,"Strassfeld, Michael",Jewish Holidays,,Religion,0,,,,,HarperCollins,Unread,,,,,,,,9780062720085,,2014/04/02,,,,,,,B63zngEACAAJ,0,0,,,,,,
,Ilene Cooper,"Cooper, Ilene",Jewish Holidays All Year Round,A Family Treasury,Juvenile Nonfiction,0,,,,,Harry N. Abrams,Unread,,,,,,,,9780810905504,,2014/03/03,,,,,,,XQy3NwAACAAJ,0,0,,,,,,
,Joseph Telushkin,"Telushkin, Joseph",Jewish Literacy,"The Most Important Things to Know About the Jewish Religion, Its People, and Its History",Religion,0,,,,,HarperCollins,Unread,,,,,,,,9780688085063,,2014/03/03,,,,,,,5mR5jX70oqwC,0,0,,,,,,
,Aryeh Kaplan,"Kaplan, Aryeh",Jewish Meditation,A Practical Guide,Religion,0,,,,,Random House LLC,Unread,,,,,,,,9780307761118,,2014/03/03,,,,,,,Bp_U6ucBSh0C,0,0,,,,,,
,Simcha Paull Raphael,"Raphael, Simcha Paull",Jewish Views of the Afterlife,,Religion,0,,,,,"Rowman & Littlefield Publishing Group, Incorporated",Unread,,,,,,,,9781568219387,,2014/03/03,,,,,,,zF6eGAAACAAJ,0,0,,,,,,
,Bill Adler,"Adler, Bill",Jewish Wit and Wisdom,,Jewish wit and humor,0,,,,,Dell Publishing Company,Unread,,,,,,,,,,2014/04/02,,,,,,,BFuhPwAACAAJ,0,0,,,,,,
,Max I. Dimont,"Dimont, Max I.","Jews, God, and History",,History,0,,,,,Penguin Group (USA) Incorporated,Unread,,,,,,,,9780451529404,,2014/04/02,,,,,,,dpcenwEACAAJ,0,0,,,,,,
,Joe Celko,"Celko, Joe",Joe Celko's SQL for Smarties,Advanced SQL Programming,Computers,0,,,,,Morgan Kaufmann,Unread,,,,,,,,9780080460048,,2014/03/02,,,,,,,Hi9fMnOoRtAC,0,0,,,,,,
,Joe Celko,"Celko, Joe",Joe Celko's SQL Programming Style,,Computers,0,,,,,Morgan Kaufmann,Unread,,,,,,,,9780120887972,,2014/03/02,,,,,,,a9jtyioHfp8C,0,0,,,,,,
,Joe Celko,"Celko, Joe",Joe Celko's thinking in sets [electronic resource],"auxiliary, temporal, and virtual tables in SQL",Computers,0,,,,,Elsevier Science & Technology Books,Unread,,,,,,,,9780123741370,,2014/03/02,,,,,,,FI70lAEACAAJ,0,0,,,,,,
,William Dunham,"Dunham, William",Journey through genius,the great theorems of mathematics,Mathematics,0,,,,,Penguin Books,Unread,,,,,,,,9780140147391,,2014/03/02,,,,,,,_IbWAAAAMAAJ,0,0,,,,,,
,Kent Beck,"Beck, Kent",Kent Beck's Guide to Better Smalltalk,A Sorted Collection,Computers,0,,,,,Cambridge University Press,Unread,,,,,,,,9780521644372,,2014/03/02,,,,,,,Y7FwNB4GV4EC,0,0,,,,,,
,Simms Taback,"Taback, Simms",Kibitzers and Fools,Tales My Zayda Told Me,Juvenile Fiction,0,,,,,Puffin Books,Unread,,,,,,,,9780142410653,,2014/03/03,,,,,,,7RkTN8g91bsC,0,0,,,,,,
,Elmore Leonard,"Leonard, Elmore",Killshot,,Fiction,0,,,,,HarperCollins,Unread,,,,,,,,9780061808555,,2014/03/09,,,,,,,2hHYvY-x9kkC,0,0,,,,,,
,Arlene Zimmerly,"Zimmerly, Arlene",Learn About Sign Language,,,0,,,,,Barnes & Noble,Unread,,,,,,,,9780760789162,,2014/04/02,,,,,,,Vm_3ngEACAAJ,0,0,,,,,,
,Paul Michael Yedwab,"Yedwab, Paul Michael",Learn Hebrew Today,Alef-bet for Adults,Foreign Language Study,0,,,,,URJ Books and Music,Unread,,,,,,,,9780807404836,,2014/04/02,,,,,,,eagzPSSPvkMC,0,0,,,,,,
,Fred Hebert,"Hebert, Fred",Learn You Some Erlang for Great Good!,A Beginner's Guide,Computers,0,,,,,No Starch Press,Unread,,,,,,,,9781593274351,,2014/03/02,,,,,,,E6wgHfqyGHUC,0,0,,,,,,
,Richard E. Neapolitan,"Neapolitan, Richard E.",Learning Bayesian networks,,Mathematics,0,,,,,Pearson Prentice Hall,Unread,,,,,,,,9780130125347,,2014/03/02,,,,,,,OlMZAQAAIAAJ,0,0,,,,,,
,Bill Rosenblatt,"Rosenblatt, Bill",Learning the Korn Shell,,,0,,,,,"""O'Reilly Media, Inc.""",Unread,,,,,,,,9781565920545,,2014/03/02,,,,,,,JEaNCl_XUEAC,0,0,,,,,,
,Walt Whitman,"Whitman, Walt",Leaves of Grass,,Fiction,0,,,,,Random House LLC,Unread,,,,,,,,9780553900767,,2014/03/02,,,,,,,OqzeOeGJaOAC,0,0,,,,,,
,Leo Rosten,"Rosten, Leo",Leo Rosten's Treasury of Jewish Quotations,,Reference,0,,,,,Bantam Books,Unread,,,,,,,,9780553143317,,2014/04/02,,,,,,,XAUhPwAACAAJ,0,0,,,,,,
